sample,group
D11B212C,Leaf_12
D11B18T,Leaf_8
D11B24C,Leaf_4
D11B16T,Leaf_6
D11B28T,Leaf_8
D11B28C,Leaf_8
D11B28B,Leaf_8
D11B26C,Leaf_6
D11B212B,Leaf_12
D11B210T,Leaf_10
D11B16B,Leaf_6
D11B110B,Leaf_10
D11B112T,Leaf_12
D11B14T,Leaf_4
D11B18C,Leaf_8
D11B14C,Leaf_4
D11B112B,Leaf_12
D11B26T,Leaf_6
D11B18B,Leaf_8
D11B210B,Leaf_10
D11B212T,Leaf_12
D11B110C,Leaf_10
D11B112C,Leaf_12
D11B210C,Leaf_10
D11B16C,Leaf_6
D11B110T,Leaf_10
D11B26B,Leaf_6
D11B14B,Leaf_4
D12B28A,Leaf_8
D12B210A,Leaf_10
D12B112A,Leaf_12
D12B18A,Leaf_8
D12B23A,Leaf_3
D12B110A,Leaf_10
D12B212A,Leaf_12
D12B14A,Leaf_4
D12B24A,Leaf_4
D12B16A,Leaf_6
D12B13A,Leaf_3
D12B26A,Leaf_6
D13B23A,Leaf_3
D13B16A,Leaf_6
D13B24A,Leaf_4
D13B13A,Leaf_3
D13B26A,Leaf_6
D14B23A,Leaf_3
D14B24A,Leaf_4
D14B14A,Leaf_4
D14B13A,Leaf_3
